Title,Year,Directors,WatchedDate,Rating,Rating10
Marty Supreme,2025,Joshua Safdie,2026-02-28,4.0,8
Frankenstein,2025,Guillermo del Toro,2026-02-16,3.5,7
Jay Kelly,2025,Noah Baumbach,2026-01-02,3.5,7
Muerte por un rayo,2025,"Mike Makowsky, Matt Ross",2025-12-07,3.0,6
Sueños de trenes,2025,Clint Bentley,2025-12-06,4.0,8
Senderos de gloria,1957,Stanley Kubrick,2025-11-30,4.5,9
El imperio del sol,1987,Steven Spielberg,2025-11-25,4.5,9
Una batalla tras otra,2025,Paul Thomas Anderson,2025-11-21,4.5,9
Tiempo de matar,1996,Joel Schumacher,2025-11-15,1.5,3
Task,2025,"Brad Ingelsby, Jeremiah Zagar, Salli Richardson-Whitfield",2025-11-11,3.0,6
Muertos S.L.,2024,"Alberto Caballero, Araceli Álvarez de Sotomayor",2025-11-04,3.5,7
Materialistas,2025,Celine Song,2025-10-11,3.5,7
Tierra de mafiosos,2025,"Ronan Bennett, Guy Ritchie",2025-10-09,4.0,8
La entrevista,2014,"Evan Goldberg, Seth Rogen",2025-09-29,3.5,7
Sugar,2024,"Mark Protosevich, Fernando Meirelles, Adam Arkin",2025-09-24,3.5,7
La vida de Chuck,2024,Mike Flanagan,2025-08-23,4.0,8
Better Man,2024,Michael Gracey,2025-08-20,4.0,8
Superman,2025,James Gunn,2025-08-19,3.0,6
Vivir el momento,2024,John Crowley,2025-08-15,3.5,7
The Studio,2025,"Seth Rogen, Alex Gregory",2025-07-31,5.0,10
¡Tú la llevas!,2018,Jeff Tomsic,2025-07-14,3.5,7
Los pecadores,2025,Ryan Coogler,2025-07-12,3.5,7
A Complete Unknown,2024,James Mangold,2025-07-12,3.5,7
El becario,2015,Nancy Meyers,2025-06-24,2.5,5
Glengarry Glen Ross (Éxito a cualquier precio),1992,James Foley,2025-06-20,4.0,8
Separación,2022,"Dan Erickson, Ben Stiller",2025-06-19,3.5,7
Cold War,2018,Pawel Pawlikowski,2025-06-16,3.5,7
Las vidas de Sing Sing,2023,Greg Kwedar,2025-06-14,4.0,8
Mickey 17,2025,Bong Joon-ho,2025-06-13,3.0,6
Mountainhead,2025,Jesse Armstrong,2025-06-05,4.0,8
The Alto Knights,2025,Barry Levinson,2025-06-03,3.5,7
28 días después,2002,Danny Boyle,2025-06-03,3.0,6
Warfare: Tiempo de guerra,2025,"Alex Garland, Ray Mendoza",2025-05-24,4.0,8
Adolescencia,2025,"Jack Thorne, Stephen Graham, Philip Barantini",2025-03-26,4.5,9
A Real Pain,2024,Jesse Eisenberg,2025-03-22,3.0,6
Anora,2024,Sean Baker,2025-03-21,3.5,7
Los años nuevos,2024,"Rodrigo Sorogoyen, Paula Fabra",2025-03-13,4.0,8
The Brutalist,2024,Brady Corbet,2025-03-01,4.0,8
Aftersun,2022,Charlotte Wells,2025-02-28,4.0,8
Historia de un matrimonio,2019,Noah Baumbach,2025-02-17,5.0,10
El conde de Montecristo,2024,"Matthieu Delaporte, Alexandre de La Patellière",2025-02-15,4.0,8
Traffic,2000,Steven Soderbergh,2025-02-07,4.0,8
Crash (Colisión),2004,Paul Haggis,2025-01-30,3.5,7
"Expiación, más allá de la pasión",2007,Joe Wright,2025-01-25,4.5,9
Orgullo y prejuicio,2005,Joe Wright,2025-01-18,5.0,10
Gladiator II,2024,Ridley Scott,2025-01-04,3.0,6
Perfect Days,2023,Wim Wenders,2025-01-01,4.0,8
Jurado Nº 2,2024,Clint Eastwood,2024-12-29,3.0,6
Westworld,2016,"Jonathan Nolan, Jonathan Nolan",2024-12-24,3.5,7
Arcane: League of Legends,2021,"Riot Games, Christian Linke",2024-12-19,4.5,9
The Apprentice. La historia de Trump,2024,Ali Abbasi,2024-11-12,4.0,8
Presunto inocente,2024,"David E. Kelley, Anne Sewitsky, Greg Yaitanes",2024-11-11,4.0,8
Para toda la humanidad,2019,"Ronald D. Moore, Matt Wolpert",2024-11-06,2.5,5
#SeAcabó: Diario de las campeonas,2024,Joanna Pardos,2024-11-04,0.5,1
Los instigadores,2024,Doug Liman,2024-11-04,3.0,6
BlackBerry,2023,Matt Johnson,2024-11-03,3.5,7
Horizon: An American Saga - Capítulo 1,2024,Kevin Costner,2024-10-31,3.5,7
Memories of Murder (Crónica de un asesino en serie),2003,Bong Joon-ho,2024-10-29,4.0,8
Otra ronda,2020,Thomas Vinterberg,2024-10-24,3.5,7
After Life,2019,"Ricky Gervais, Ricky Gervais",2024-10-22,4.5,9
Wolfs,2024,Jon Watts,2024-10-06,4.0,8
¿Vencedores o vencidos? (El juicio de Nuremberg),1961,Stanley Kramer,2024-10-05,4.5,9
La pareja perfecta,2024,"Jenna Lamia, Susanne Bier",2024-10-01,0.5,1
Rebel Ridge,2024,Jeremy Saulnier,2024-09-22,3.5,7
Lars y una chica de verdad,2007,Craig Gillespie,2024-09-06,3.0,6
Hasta el último hombre,2016,Mel Gibson,2024-08-26,3.0,6
Bikeriders. La ley del asfalto,2023,Jeff Nichols,2024-08-17,3.5,7
La gran apuesta,2015,Adam McKay,2024-08-17,4.5,9
No mires arriba,2021,Adam McKay,2024-08-17,4.0,8
El vicio del poder,2018,Adam McKay,2024-08-17,3.5,7
Los otros dos,2010,Adam McKay,2024-08-17,3.0,6
El clan de hierro,2023,Sean Durkin,2024-08-08,3.5,7
El especialista,2024,David Leitch,2024-07-27,4.0,8
Materia oscura,2024,"Blake Crouch, Louis Leterrier",2024-07-25,4.0,8
Furiosa: De la saga Mad Max,2024,George Miller,2024-07-23,4.0,8
La última apuesta,2015,"Anna Boden, Ryan Fleck",2024-07-13,3.0,6
Una historia del Bronx (A Bronx Tale),1993,Robert De Niro,2024-06-29,4.5,9
El ministerio de la Guerra Sucia,2024,Guy Ritchie,2024-06-26,3.5,7
Cuatro bodas y un funeral,1994,Mike Newell,2024-06-15,3.5,7
Ripley,2024,"Steven Zaillian, Steven Zaillian",2024-06-08,4.5,9
Guy Ritchie: El pacto,2023,Guy Ritchie,2024-05-19,3.5,7
Road House. De profesión: duro,2024,Doug Liman,2024-05-19,3.0,6
El problema de los 3 cuerpos,2024,"David Benioff, D.B. Weiss",2024-05-14,3.0,6
Dune: Parte Dos,2024,Denis Villeneuve,2024-04-05,4.5,9
Vidas pasadas,2023,Celine Song,2024-03-10,4.0,8
Saltburn,2023,Emerald Fennell,2024-03-07,3.0,6
